,0,1,2,3,4,5,6,7,8,9
0,3798,19908,49814,124903,84193,24339,10066,21716,9304,22
1,18431,24226,56258,70785,54331,42653,22671,16154,8281,30
2,2444,17989,34050,61642,47957,23694,12314,25391,20765,34
3,10028,13396,99190,92952,40359,26071,19166,22880,28804,51
4,38267,23962,37739,77270,55792,34278,38789,46631,37694,54
5,22073,26502,53308,88102,63367,47114,14278,26266,18323,60
6,23,16447,74294,60209,45567,5997,9424,9017,43279,87
7,56,16568,92004,94440,31249,18047,49292,17072,7715,91
8,22531,31193,58578,92026,88273,34364,25739,32769,15917,106
9,60374,31643,32135,62217,59480,2645,2036,45023,3646,123
10,19228,24521,45430,85631,51862,37539,23127,33604,15455,152
11,24037,52101,63031,83954,50076,54310,22689,23621,22498,156
12,30585,22191,44552,70130,90435,81863,23849,36446,17563,164
13,6305,14142,63291,42081,43816,65805,4992,4484,19179,183
14,21733,36029,70009,97533,94823,29484,27048,35326,16924,193
15,6833,14597,45822,95081,71101,42455,52519,53846,50182,200
16,5009,5660,30319,123064,58869,16525,5973,5885,31294,210
17,32010,26172,50704,73425,37081,11724,13859,30473,36855,212
18,27680,30473,40233,81662,40743,28840,20040,28110,31734,248
19,19525,29705,43821,72495,60805,24941,19650,35978,47489,258
20,57214,26865,18806,103238,145602,14128,12897,19339,13325,275
21,27258,34704,37630,56057,49110,32343,28768,27369,20086,290
22,29894,34629,27862,43628,69272,23948,17440,58376,14820,295
23,3370,22094,47324,107671,80898,57454,53747,41201,21307,298
24,14503,20978,40908,51294,41631,49459,12864,34384,27540,325
25,19100,13992,31745,78463,53016,12127,45911,50449,14576,330
26,10553,18199,35211,71330,52355,29498,9237,13714,6752,339
27,14615,26956,55877,61756,47671,21400,20097,43412,37187,354
28,15257,30313,43999,75177,40319,38688,24989,33374,19239,363
29,6797,180,73650,91774,47100,9188,15969,13344,10494,364
30,22489,35449,58056,83952,72937,51395,45405,38173,30807,372
31,23146,23116,33508,52202,63756,24286,6508,20089,20786,376
32,25562,26159,62507,58520,67392,45229,21932,21139,18652,397
33,6280,26622,50328,80211,57322,49436,16012,16948,17078,422
34,22543,33145,52531,65133,39262,23409,25544,25690,25136,441
35,8713,11802,33481,72118,47939,12912,10995,17491,20647,442
36,5516,30145,28577,87793,28376,32727,35104,34974,46625,463
37,22464,21697,41197,83897,43422,26826,6662,7716,6569,468
38,32781,35410,59194,93285,53201,30912,16009,16277,6680,478
39,43045,16615,31880,50209,76403,67465,21608,28832,39903,480
40,9508,8481,38519,100032,45919,36206,34466,40310,29579,483
41,842,36167,20436,67834,83334,14306,18789,66683,36505,484
42,50476,34217,37634,72623,40505,6186,11856,14265,21925,504
