,0,1,2,3,4,5,6,7,8,9
0,88604,70471,78238,184534,150976,70603,91697,175008,182436,8
1,83526,80347,174845,225080,138257,27398,47623,137871,154852,16
2,22746,52259,169705,210213,106412,47320,87227,131220,113286,49
3,101235,108323,170439,221322,136791,109347,112381,131661,136783,84
4,55651,89911,122812,133688,136591,50438,69782,157265,103674,167
5,32828,35714,129212,246567,203604,68634,94947,160104,154885,180
6,106429,127842,139793,167623,169085,61909,98199,135099,101279,190
7,13989,93002,181382,155739,58562,29124,82158,155606,118495,191
8,70719,97519,197704,240501,125215,48654,70577,221328,175707,207
9,101214,134390,150730,199536,133320,92531,96476,139089,166193,211
10,48565,120627,163954,142160,95788,52762,81378,136546,134188,249
11,96205,119371,177260,196729,175460,129796,101607,128699,139988,388
12,113677,142045,128431,197764,198531,40947,82746,180239,134029,419
13,59759,99056,146204,175668,152824,120652,136951,136544,117536,507
14,84866,120333,86692,227327,220750,48824,103212,183477,193276,522
15,79779,95886,118936,166494,209838,99790,49060,105373,96614,528
16,92611,77356,132075,191580,195056,77336,63124,92836,82014,587
17,79002,89259,110424,162265,143588,63999,103148,183053,132743,618
18,65724,93987,189204,231327,112229,42371,57485,201162,187144,627
19,26344,97799,157993,189097,96606,21929,47333,172190,181074,667
20,54740,74281,114810,171090,118566,96167,84574,134137,145217,670
21,79411,89036,119419,191468,165654,97906,41008,130282,137418,771
22,68241,84497,136770,137395,114254,18031,39838,133328,152405,786
23,43069,114672,144864,173879,153487,71400,63175,146296,146658,1010
24,70349,135445,176381,203450,162609,131570,104259,143712,70920,1059
25,104114,85254,82822,192990,120298,65722,138388,74435,147738,1213
26,83465,146987,204242,219855,145451,80895,116898,155524,134340,1275
27,34707,56096,143364,254794,186256,55775,78680,95231,149430,1276
28,89951,125195,136533,257487,183485,123195,76650,129761,118623,1296
29,64195,65989,140139,194821,159245,82125,64578,142752,137368,1322
30,48858,88466,154204,185173,158100,120555,141419,111343,111386,1358
31,43375,123843,197654,196168,93024,43519,22282,165553,149383,1394
32,121487,111873,132835,176496,125079,78697,91187,91737,135854,1442
33,14301,26933,79858,151833,184817,11490,25228,222159,159141,1448
34,47501,61614,116942,177786,110618,96951,104834,152061,159464,1474
35,85890,125732,152417,252749,82127,104116,96333,169877,164769,1513
36,96686,125110,154547,216904,161048,65544,68087,125984,118326,1555
37,62096,86569,162818,216823,179376,84201,69790,180480,137798,1766
38,104408,97363,159849,198253,195446,97203,103680,104722,76206,1785
39,20956,53059,188227,229645,137879,55131,105577,148808,137234,1851
40,97748,98906,160798,200467,152050,72839,50963,163374,92353,1871
41,43093,130629,182653,234441,105208,43204,90195,170801,171530,1921
42,84974,127701,75739,181977,136615,77495,55672,154668,152120,2149
43,109854,104117,94686,249409,140440,95396,85667,106903,77164,2192
44,85448,124971,162364,179034,159594,92793,129754,157620,109533,2344
45,56662,106928,138872,217501,133096,63610,68939,110535,90140,2357
46,76665,70856,95129,171525,140866,59102,77046,153240,149122,2422
47,98386,117990,144679,182926,162303,36074,58249,147284,178495,2447
48,33674,31601,114584,220140,123847,121237,116192,125300,146538,2449
49,50103,72071,119412,200908,133382,62599,68495,125621,137502,2525
50,24009,31015,73585,220719,240723,27030,8032,187679,143776,2702
51,108192,120846,91501,262447,102060,115119,53180,117530,72798,2728
52,16712,78490,120119,165533,150493,64433,86754,135701,124036,2753
53,69148,83328,142690,193839,160263,113426,105639,172098,166798,2760
54,57750,89720,166928,190658,153470,86607,106078,122643,66300,2956
