,0,1,2,3,4,5,6,7,8,9
0,23480,47043,65361,105946,126523,77317,34455,55842,50663,2
1,46922,48471,35118,64447,87031,207346,75140,57185,43205,40
2,56282,31507,53763,44723,201391,36271,13331,11069,4086,59
3,16383,59546,69893,105837,88296,151179,94487,92285,53877,181
4,9471,15705,36973,43674,100418,114201,19409,45272,38622,192
5,57164,67207,79331,100954,171089,117605,54967,18972,355,206
6,8044,13611,79890,137436,156233,149696,48453,81701,60446,236
7,35269,43326,102999,104487,107581,71480,58428,60881,39549,247
8,1426,28594,5879,98607,117656,212565,78449,24885,46967,252
9,63641,44602,48123,78965,82926,119005,54317,79647,82952,255
10,8435,26311,71257,159302,135753,141377,92355,59357,98939,462
11,21686,42367,54667,94725,115904,84856,61648,75579,50201,630
12,46462,36616,47365,113546,157149,42690,19958,71386,97272,640
13,9409,5112,17606,36434,105440,215693,39920,11540,19009,727
14,26786,23811,35743,76846,93926,104414,54608,48382,39423,764
15,4882,54207,66053,40003,157999,162380,16538,8010,1232,869
16,24943,29656,22944,89670,84953,91649,50951,57200,32895,872
17,10777,22087,36426,81212,63927,111046,36592,52299,44596,882
18,29453,35617,53271,196392,138502,86837,21981,42508,16880,938
19,4086,35984,61116,86911,107654,143285,36323,39124,17986,968
20,23514,47142,92426,192795,111842,132957,44915,64386,51085,1034
21,15603,28885,45443,132283,126269,116903,25242,53145,52846,1081
22,3695,18627,58767,103946,121417,101055,41087,47276,21663,1323
23,20161,34491,91991,142426,129358,113090,29450,36295,27238,1339
24,58920,96956,41780,33215,132935,119054,98743,101828,37446,1397
25,40962,102099,86795,103707,166197,72595,26633,34140,18679,1420
26,15220,10117,54503,123867,150186,168752,110906,101145,99362,1494
27,46433,39831,89963,74733,81601,113878,47479,65033,57624,1503
28,44986,43842,64765,182609,117232,128912,59984,47395,81985,1522
29,40929,42431,64763,181923,139249,99339,24472,38524,20134,1551
30,8920,12568,84647,157499,157367,103243,42508,37895,11626,1588
31,7563,9488,1345,7110,36237,245236,13147,83337,58011,1597
32,29428,41421,51837,131244,206600,118356,5000,45899,85377,1631
33,69383,77995,83988,105487,145077,102181,30021,32933,14410,1719
34,22916,45071,47408,88006,217233,89217,65638,72061,32807,1854
35,21045,37762,41220,117932,114066,52510,48074,57712,55245,1897
36,47688,71764,70720,72166,171233,85077,58756,21585,8181,1900
37,11227,33116,61317,112619,172308,86777,40432,95277,90815,2018
38,10260,43470,24174,101032,114416,73551,68807,49236,54035,2053
39,36143,70387,109085,132140,117944,104577,34522,45089,28464,2109
40,5984,16997,59757,111061,131906,132177,26922,12699,2016,2154
41,42538,53468,65224,92964,100290,93987,40281,66358,41808,2225
42,9031,18671,52114,107445,108567,56782,59717,57799,43374,2259
43,38605,47856,81637,123785,137039,213430,111034,104605,39181,2296
44,25643,20983,37778,105266,94016,103500,58258,59206,33120,2307
45,14701,38719,39255,59347,107370,119993,77643,52541,17445,2350
46,52326,37243,77882,89339,105480,101342,51855,109062,48712,2352
47,10146,28349,55402,131569,122685,73688,13496,34170,26212,2364
48,20308,62278,63859,65359,183940,135531,59106,108831,79101,2414
49,46220,46920,102578,114940,128826,71249,39262,60359,48917,2436
50,47298,53235,105923,139913,110038,114605,31121,26186,31899,2450
51,13667,22266,52235,156027,109237,82383,50526,45400,23632,2565
52,38557,28981,27985,65763,95296,111830,39253,42730,45877,2573
53,6197,12134,74469,153576,119625,108081,37351,64203,34026,2582
54,21807,55413,66103,137309,105436,70683,68850,80273,55249,2647
55,22463,23148,53025,131501,154836,83569,31783,19508,3428,2648
56,17615,26030,52785,148728,130045,92618,56674,100927,93323,2687
57,20654,33248,49884,75053,261467,22268,10946,21896,15424,2714
58,18258,40546,54638,153317,97455,202068,79850,35875,19099,2751
59,23055,41685,61892,88625,122582,162140,68356,65538,61475,2806
60,42180,41272,69113,167834,153265,115166,24848,75509,99158,2834
61,6301,47955,78827,105260,114011,63220,49550,52230,39393,2965
