,0,1,2,3,4,5,6,7,8,9
0,134383,243735,274318,259487,246103,164186,137801,175556,152896,88
1,168165,220311,305800,318738,212755,154297,87066,182983,72826,322
2,94904,169115,203559,366332,307992,168260,82238,153298,102431,595
3,156862,192453,219247,319775,269177,162007,76434,69273,56291,716
4,173652,163430,227720,231845,377937,92456,80426,101043,107926,898
5,143961,158631,231826,333686,194679,307105,114016,110895,107049,2073
6,161151,151926,240692,317067,282874,141402,11289,3845,112538,2160
7,82916,142625,233415,303879,249484,180355,75770,122812,139454,2212
8,210624,213145,243213,227194,293235,218871,64449,107710,132203,2309
9,182827,214633,245417,295302,219510,198372,130647,149898,129746,2369
10,78103,106083,277717,334634,249890,198465,138926,169046,127748,2386
11,139536,133242,252921,408152,234986,202504,138637,157792,143167,2405
12,150412,138914,236962,304938,302762,190842,99619,202226,174874,2426
13,120034,133834,201519,242130,315745,147672,54610,134324,72036,2441
14,164677,211375,220741,332631,158743,152208,109830,90760,104787,2675
