,0,1,2,3,4,5,6,7,8,9
0,108246,56368,116538,154711,136689,48459,136187,256981,187125,69
1,109447,129502,171711,187935,171031,50340,215685,345927,204209,77
2,172511,59870,232881,201136,100874,16739,274536,354290,170715,182
3,152165,151010,152531,73802,66096,67461,143952,162815,216692,238
4,132351,163415,130796,94140,21102,3577,181233,252183,200586,279
5,85285,90479,104469,112781,121755,91128,194091,277795,326932,406
6,174737,147304,112521,100875,93122,86264,188117,282887,222768,578
7,102082,106098,102053,91015,82275,62362,191515,227713,153680,706
8,258292,128834,162942,84004,132831,180363,266675,264749,136647,911
9,172229,115220,75463,94058,99358,78051,189548,261957,262319,955
10,74739,87412,83799,115205,75699,77389,160400,258539,251846,1612
11,130346,118939,186555,177810,134943,52247,153385,243606,171325,1637
12,153591,214937,168666,96629,146642,129190,158189,211746,283079,1689
13,132342,136008,124679,119873,120173,89226,154916,197285,194736,1738
14,82758,136412,120825,73965,76632,19084,140859,236110,237226,1852
15,121427,165618,123995,89552,86421,46679,137254,223569,248850,1939
16,207969,153525,131164,143411,152440,115628,205316,268911,201562,2147
17,275368,174383,83928,52810,38018,15662,51569,240219,212167,2495
18,109511,126090,152072,99190,53194,67303,192390,322418,284409,2543
19,58236,96357,133862,122570,101325,42737,137722,272932,217616,2633
20,142023,169515,198022,117724,53133,8736,206633,138838,160195,2843
