,0,1,2,3,4,5,6,7,8,9
0,11019,21457,41801,203212,253766,201304,34904,13140,10117,127
1,139536,48901,53012,249398,258002,108488,101978,83064,173930,154
2,644,19511,139071,286547,227251,228943,24374,65653,68904,178
3,10933,39337,88079,168034,335662,193354,6107,0,17905,204
4,51053,89983,193612,237461,219170,193860,117352,142387,128246,276
5,52765,80264,114657,208060,165324,146059,73703,113951,82125,333
6,64245,66671,100131,177171,202252,144722,71622,78180,52250,336
7,685,82947,145975,214563,270211,206136,67235,152369,88345,385
8,130468,22852,168359,179181,267442,107115,14367,128240,35386,466
9,22660,19904,70069,255784,297933,195833,58455,153540,182319,502
10,53200,48744,117784,293570,206113,172840,85863,132150,89418,506
11,49080,56148,131462,230891,219208,128498,152683,107196,55303,624
12,5751,15031,87232,171107,251728,158283,30816,127202,203287,822
13,30990,58308,140709,235958,234133,107102,107538,129723,58027,881
14,64724,84967,138694,133792,269023,118188,83330,131320,130409,1042
15,34102,31696,61853,218520,268440,194695,108147,117496,74134,1048
16,47340,62166,96316,150380,319150,130178,87058,181916,95169,1106
17,22503,36993,57157,233437,382649,213015,104467,122931,62981,1164
18,52109,68405,120819,201110,206063,185023,25576,4407,64912,1207
19,2956,49885,168195,239657,194320,200507,48171,57012,27433,1228
20,18745,78615,202712,264689,231121,231965,139762,102726,79118,1454
21,3110,7591,195624,227548,293749,126237,131517,48769,14810,1463
22,54610,51606,115313,241487,220102,182129,73108,94910,27312,1660
23,2933,8286,33868,178039,198051,138267,76168,171049,113274,1696
24,21416,41349,139568,255653,265599,178237,74673,50231,23409,1772
25,91698,73466,123165,226116,204861,124998,72915,71948,61044,1863
26,93379,70860,94108,175228,190914,232987,82225,98964,89368,1995
27,62339,23819,108992,229254,205662,169475,135768,135896,40356,2081
28,56099,92912,163814,209281,225754,197673,111758,129129,70906,2219
29,56378,81717,84576,236397,180480,163229,79600,116249,97422,2229
30,57751,99824,100556,155290,214891,155239,108808,106125,57682,2283
31,87730,136068,130533,165543,218592,177115,59938,95060,87651,2335
32,16050,53298,46285,245586,243272,286231,35023,15612,20584,2470
33,57768,86910,103236,194400,262195,132157,43818,70591,41438,2628
34,62924,70467,123522,237650,215297,150748,99312,113440,75100,2701
35,18393,21223,60335,141535,213028,160897,21314,112686,195252,2752
36,22889,5826,18881,178103,250611,80889,55693,88878,34901,2893
