,0,1,2,3,4,5,6,7,8,9
0,14572,66341,135478,160418,143917,105965,78392,83452,64165,0
1,77528,121717,170776,221816,62903,47366,21873,47571,77881,11
2,89732,89912,146095,191505,114091,81642,50371,75622,106534,74
3,66264,61539,131794,150432,84040,50261,37038,56318,53559,97
4,36684,28042,161675,206933,110968,48692,10541,12866,12491,162
5,13972,9674,128609,248666,141492,54732,44276,55267,156375,209
6,62629,76893,112592,219293,46484,22885,30575,56923,79930,216
7,43528,90404,114563,151938,122512,31453,33251,50704,58809,328
8,12143,47363,85323,158208,144339,49822,6568,64043,58765,404
9,92150,28260,137904,210185,78909,105119,60769,93712,72632,405
10,25080,60266,125109,180883,133102,78738,69801,98413,92103,430
11,7290,2513,229128,139565,125643,19615,4979,28024,185037,464
12,80957,59375,110825,150793,128091,66179,40964,64669,21128,553
13,45707,83298,134569,215297,123395,46305,15231,21905,33339,568
14,33199,93436,118378,172081,151591,50270,36577,64305,84900,597
15,22464,40532,164473,184948,72088,35684,11557,18723,38618,601
16,5995,25410,50514,229812,109206,69340,13513,12063,2553,612
17,23981,27429,102531,241081,147276,35366,24759,64518,83262,635
18,7590,106908,188763,151564,85550,49169,6700,4845,40458,728
19,77558,67866,89964,191095,132432,106670,38966,68843,83214,738
20,133746,90410,72636,264008,106389,9999,26419,57567,43413,776
21,27156,53172,120526,156014,117102,54286,18370,53656,73015,782
22,15015,96939,155168,208684,138021,45779,51077,87341,71912,802
23,7383,72527,93554,183964,125500,91977,12036,7908,60402,847
24,63847,116400,167078,165407,91620,31467,22208,49178,46484,857
25,105706,129831,118373,212726,97567,43434,33082,74106,57530,871
26,13410,44687,161047,200489,99043,48150,23939,27498,19426,902
27,50109,65494,121134,231440,150901,55460,30110,55898,78363,988
28,38770,60602,206630,210100,93229,44088,30590,34808,58429,1000
29,71399,51749,158443,180637,56078,34641,27532,23919,19146,1044
30,31123,55099,117257,153206,122461,85135,54017,80468,79689,1307
31,32320,38780,115800,162572,101192,51909,69812,75017,54137,1374
32,26951,79590,76446,190571,102021,89954,37301,59318,62423,1408
33,18806,33702,170028,188031,41711,8304,66363,83501,124797,1433
34,22489,34222,154506,190629,124277,40843,13718,92937,57940,1469
35,54531,34874,177230,243328,131922,93196,41557,74970,48901,1556
36,79299,130289,187986,277432,17614,10003,7111,7597,40209,1600
37,44195,66790,106986,159743,98090,71291,30989,51205,34740,1670
38,51671,98189,165078,242574,64164,5786,4160,63155,66111,1687
39,29818,63023,118470,188986,128298,68272,64847,89927,71731,1691
40,51414,97838,140145,179317,123028,58710,6509,4616,3807,1716
41,74601,58543,118231,204882,96393,36706,27798,113120,107001,1932
42,73558,105469,162830,181126,65806,27648,52647,92208,62229,2125
43,62588,154649,125010,207868,128762,121887,20941,50712,63545,2128
44,37714,63190,143218,174276,114088,73849,43753,106301,66407,2184
45,9313,17235,156030,191625,96985,27350,13215,37302,36654,2209
46,54467,91322,143707,167708,152487,82632,55135,73951,89812,2230
47,47121,141128,131700,163414,156072,88552,7591,51844,112032,2279
48,79609,111333,151288,157388,126884,50444,23858,54520,78922,2288
49,38872,81254,142769,168705,128408,42143,16206,34826,27557,2363
50,70200,109643,138944,245370,124057,60384,59794,14390,8091,2503
51,26592,43811,106763,174551,131596,86337,51514,50125,113435,2507
52,52943,102960,117487,171706,121272,81165,48675,44155,23157,2515
53,5790,2434,185016,155603,95579,10212,1355,28827,150346,2516
54,10587,4980,112373,246568,115342,75183,33713,14525,5918,2536
55,25812,56850,169895,186727,103849,79681,83218,87300,51445,2556
56,17033,40867,73055,222799,129346,30580,18688,21700,3015,2561
57,30983,99080,204944,202885,69469,6636,16630,47677,45478,2616
58,21537,49579,116882,203432,135962,97598,46221,36930,40825,2668
59,24094,80513,104115,279434,78850,70771,76081,63969,39964,2762
60,25576,69655,150094,224720,110564,32714,7976,42538,6854,2789
61,25223,46809,119376,214282,94219,4294,0,22993,28227,2790
62,78636,97061,117344,166759,94450,31629,2651,4081,49692,2899
