,0,1,2,3,4,5,6,7,8,9
0,84423,93566,122594,178370,108855,57824,66361,115271,271142,28
1,52989,78654,134124,226934,242820,147905,21737,30446,422579,122
2,5894,170808,145267,128296,84006,19366,4922,51495,335140,172
3,109057,129667,92978,40972,3644,105,63785,130166,299672,367
4,82214,95134,220290,138002,61320,22924,51296,97353,386648,580
5,18896,115868,147219,110994,85114,33696,27741,146394,289216,770
6,50561,44745,53662,75060,98192,40452,22814,195388,438633,1694
7,99537,87246,182216,287575,18581,2704,30655,94718,268136,1733
8,60278,68934,31922,59715,27277,49674,110117,5829,380386,1857
9,46463,80431,142175,80783,46492,19659,59831,199767,310656,1876
10,100999,80148,199582,106657,54611,16738,19182,48492,467758,2040
11,106490,98363,74107,62771,17044,0,116675,162210,477298,2720
