,0,1,2,3,4,5,6,7,8,9
0,50791,83243,103056,117489,73248,24480,31855,92585,67398,6
1,21659,80725,129677,116176,93276,62138,93553,89617,50306,10
2,65234,86468,113249,132397,98366,57811,81360,90943,85772,25
3,91904,74904,83925,103156,75593,39099,57497,70955,65436,35
4,89418,97640,119777,115003,99839,61270,80909,81452,73067,61
5,33939,123636,130895,132461,59434,23497,57061,114611,89541,83
6,96627,89498,109393,154721,193413,61208,70420,85207,69670,128
7,74742,95573,96043,121433,92842,37710,44536,103434,102984,136
8,79674,95639,109134,123436,105328,104802,65233,105153,92890,175
9,5463,58366,138332,112775,117896,78204,76024,91228,66265,196
10,79559,92828,108018,105679,83812,53670,76127,83286,64268,217
11,57749,62121,71173,118595,103597,42774,63469,94625,77627,230
12,98394,138228,87334,100788,169171,79900,44689,46904,34923,243
13,74555,66964,78344,147943,91237,46423,36569,66019,79258,281
14,17425,116706,150491,101395,77392,23417,119176,121621,97805,335
15,38429,65377,129411,140218,71517,45268,61572,114424,85131,351
16,81467,122664,54382,122338,104214,67505,72300,44424,38167,379
17,79959,118340,146781,150918,63271,98470,146932,84086,73801,451
18,65899,68872,75069,109832,68965,39048,70755,104232,98253,455
19,83269,98234,122768,163781,155216,27247,58464,62769,95814,458
20,95268,94294,112336,163614,56560,15882,23763,65436,49880,465
21,52974,49154,73219,128625,114235,57471,56443,89181,82921,520
22,48927,83672,103066,164889,54079,74705,55392,84005,106876,564
23,26853,91519,96688,89774,115796,55558,66381,101394,41288,571
24,114762,107758,101485,100537,69354,45301,57046,76678,45946,573
25,34255,37189,77931,146661,111811,41065,45121,95868,70836,582
26,60884,78149,120550,126990,57672,44979,72248,112546,101216,589
27,63835,97072,102837,89931,57388,35794,76974,92194,64000,593
28,31529,67787,108263,113137,80313,24898,61600,104339,107847,631
29,49971,101501,161387,174249,39803,2620,64042,90599,89190,632
30,44314,73561,121506,96534,70202,53875,80982,73758,53135,633
31,58916,93815,87870,125159,67079,63022,41329,84555,66747,662
32,146674,151344,89172,76797,84467,53894,70812,88310,82309,681
33,94182,100428,104135,100596,91903,47008,72900,72682,59320,701
34,102920,97977,126372,156315,103825,60187,66863,86072,97977,736
35,63278,147688,100629,127312,96834,16521,121259,82736,83703,750
36,39294,151406,104509,136505,137101,51657,121134,57827,31321,828
37,106127,81644,97808,86413,69537,40083,46231,89889,75137,841
38,82662,93337,75436,120410,162097,69317,59368,100558,62615,848
39,73410,49924,76321,140170,43867,48648,129529,69481,58821,852
40,137230,160035,95707,125580,93233,32949,65773,93939,64144,879
41,78238,69740,88584,98470,64220,52339,57192,72049,77360,880
42,46021,73397,106581,110865,97867,94341,60278,84162,86706,916
43,82450,111783,128029,179065,134288,82816,92951,97004,69989,927
44,95881,91873,112424,153443,106895,63672,81403,119145,96330,990
45,42052,77488,112330,100443,72888,32533,50860,91477,61677,1005
46,67549,103098,131043,130557,143707,82307,43923,78972,65584,1008
47,86182,115888,111952,154408,143546,69236,76677,96029,75884,1037
48,29935,93036,100955,137448,134039,120444,84189,79807,85853,1074
49,88682,117347,108792,159884,103470,85207,113563,96328,66884,1095
50,103232,117027,138746,120483,139113,38208,29562,76974,78080,1129
51,37610,77265,137701,145079,119930,86536,73356,91065,65221,1152
52,41528,67708,103772,154680,104478,15309,36867,114880,149310,1170
53,33209,103398,134764,152610,95013,47932,72729,95667,90886,1179
54,50067,69182,69649,118835,65227,28775,66917,112454,90270,1186
55,105858,104799,86262,101387,100455,54238,72036,100111,82304,1187
56,84464,83844,109070,105343,61376,33372,56615,72629,91311,1234
57,49163,66582,116536,132817,73647,19187,27822,79173,119577,1286
58,79130,82029,74481,125931,57801,42438,56873,89600,69423,1287
59,94589,79285,79914,81296,75492,58845,71517,101026,84575,1321
60,54184,46581,145440,128019,118680,121380,57944,100405,48045,1345
61,46815,148162,111070,67884,125812,25134,43185,87907,77338,1364
62,57190,92402,133619,138446,86414,80411,86998,116751,117989,1410
63,27938,80969,104640,146079,140073,101283,112726,105436,57223,1413
64,125268,74313,134734,102443,110497,110445,52707,83562,50805,1414
65,49296,85199,109915,134964,95929,59458,47738,96509,65674,1421
66,107583,104706,93733,118136,105460,46777,28107,42728,58455,1428
