,0,1,2,3,4,5,6,7,8,9
0,40034,57747,79613,51732,14673,7645,61327,145852,30908,4
1,11163,38124,38475,46731,35613,22249,37092,113353,130734,14
2,22309,63061,77931,58706,6682,0,26722,81597,82710,31
3,52073,39533,6860,21762,4116,3671,127673,131501,114240,72
4,5330,49778,70274,44046,29782,43420,46968,96211,82992,80
5,4613,13839,14600,13392,10251,9525,27757,187478,87065,176
6,21001,45741,31065,31377,37435,10849,83930,152667,110637,221
7,14698,11997,35863,113055,8408,6346,9735,79154,127340,245
8,54785,62984,58105,56887,44392,37142,77473,124971,98340,280
9,38225,65501,88433,76949,5050,1381,27337,83346,108288,285
10,53617,67289,62042,42967,51031,72243,117367,83813,108175,311
11,56082,54804,46223,77918,52091,37302,56476,112182,80777,316
12,25283,56420,78436,65908,43502,22261,33370,91163,110975,452
13,49355,22137,12005,10066,7838,6559,70521,141922,121187,485
14,39680,10923,11105,2161,10291,3267,70269,85343,71723,486
15,87174,79753,44540,55477,34429,12322,35656,80379,87591,519
16,16568,47407,22107,23114,27197,38607,61669,158025,97208,534
17,19529,9690,6169,6251,54747,110160,109407,137352,117163,590
18,2884,10274,38365,22132,19425,14551,16300,110140,62735,599
19,41624,37093,46778,42210,38106,8746,58066,81742,50003,611
20,33594,38457,59682,55487,23999,22300,32629,124950,76485,870
21,32624,29960,25680,24064,30439,34227,56569,82332,80392,976
22,6736,12429,26489,41116,62818,24611,55014,105046,77067,991
23,37030,36583,57606,64015,50291,11855,11548,111349,80010,1066
24,38226,55635,62196,21013,12573,9608,65641,164957,99293,1084
25,39848,41983,55678,42486,31961,24029,56636,82457,70343,1088
26,38395,17173,11041,17990,20651,91135,139804,114259,40825,1165
27,559,149429,45915,6374,3393,1625,10165,220360,23383,1218
28,6352,88010,67887,29758,2292,0,17476,79505,101744,1264
29,35217,64704,47842,42751,24364,11201,68226,64566,55512,1326
30,0,15788,102050,95996,26235,1969,25013,94990,101759,1341
31,65262,51244,59343,42998,30609,39981,54416,85369,89190,1466
32,52154,41037,46848,45608,37656,25569,74659,89003,69825,1517
33,23288,44924,62458,57381,43315,26953,33332,97699,94587,1577
34,33050,32823,32694,47438,30495,44461,74008,114591,93643,1646
35,44076,53699,29863,37561,32119,42532,78318,94342,35816,1657
36,46487,51718,53434,46893,51364,43442,67920,103565,72813,1685
37,31309,42522,38594,29779,22137,20217,47578,75502,80757,1702
38,44439,47840,46712,16188,11854,5512,27461,61982,131985,1795
39,68498,15008,31094,58268,26867,27307,34886,83137,95235,1850
40,48334,58802,28551,10867,7245,71148,126194,114359,145014,1884
41,33197,58290,25236,34060,46328,8825,19134,89835,69076,1942
42,21709,8977,7835,11812,7735,34304,78821,82713,80349,1955
43,8377,26485,39798,94269,71528,12652,5643,137897,55911,2008
44,86418,67205,28826,51647,61297,33637,45289,111331,99308,2054
45,5177,10042,19824,11870,14851,32442,68725,109081,82552,2136
46,28660,21534,19189,13910,42289,57579,44947,120404,50932,2269
47,116197,65466,31033,38234,26321,16005,54758,65431,115128,2331
48,52997,75531,46671,45055,25287,18731,53225,101911,110778,2376
49,36847,40828,46104,58367,43498,11688,44746,127965,60867,2425
50,51676,40685,60129,29611,21093,7486,26590,96825,110658,2555
51,4165,10130,40559,67603,21749,12146,33913,84597,91964,2630
52,33249,43950,35055,33439,34428,15194,31885,82377,106929,2679
53,52595,63657,63363,59707,47416,27467,65751,104479,84234,2693
54,15974,17812,24987,41905,25279,30516,41440,84009,79162,2732
55,11800,19078,34386,85370,38271,44512,77994,106876,69234,2772
56,5159,6574,38895,71184,59462,35684,66611,92149,74226,2820
57,85789,62883,59606,39296,23048,14825,65801,135066,111847,2849
58,68563,44256,24007,18565,19591,30767,82574,118112,129793,2933
59,37933,34332,33308,43384,76265,52723,73660,119662,100987,2935
