,0,1,2,3,4,5,6,7,8,9
0,275565,240027,195021,202978,55239,0,21374,242240,140637,352
1,226117,280227,245066,180186,86075,60407,74616,69263,44933,694
2,342973,243440,251697,115655,72174,26933,81522,77173,95339,724
3,206055,267282,154895,59991,20262,11112,2912,0,7009,1050
4,174704,262886,187625,180240,39660,0,32073,58947,85963,1194
5,198392,226560,138212,144389,104831,104311,16156,62394,52019,1568
6,180966,178575,165843,121555,37076,34316,25456,79707,166386,1585
7,165295,194150,185847,141567,75610,5917,0,39675,90741,1595
8,217531,161761,206539,243055,125202,46148,34979,51985,106248,1725
9,186961,214782,227831,183800,59617,3760,74957,61945,129130,1739
10,203631,249164,108016,38064,26094,12031,22177,14725,143041,1980
11,292997,209476,205338,164950,67301,48597,32392,52361,40300,2006
12,199944,276862,163305,168693,128862,31728,11314,5831,3071,2049
13,258039,188918,152386,263690,74010,7768,5284,4585,2821,2066
14,234086,150568,146382,116790,80595,10604,54580,73369,64388,2135
15,275565,112307,125238,188147,35888,3381,56355,94957,116312,2339
16,289396,329757,119444,116793,111363,74131,2273,32377,74342,2400
17,184180,186281,163373,136615,77837,27281,19085,85257,96061,2479
18,196133,185154,164794,157584,105248,62144,46220,68575,58758,2481
19,263703,120060,215506,123605,25141,9742,9961,66252,112740,2654
20,222060,192691,129310,56248,24826,21882,44014,75957,46239,2844
21,218418,287016,203963,118544,72305,21897,74708,135190,151276,2962
